# 2017-01-19 02:18:08 ../../pysilfont/scripts/tools/UFOpsnamesmap.py
# GentiumPlus-Regular.ufo

LtnCapY.Sophia,compLtnCapY
LtnCapCBar,uniA792
TnContRt14,uni02E9.4
LtnSmIInvBreve,uni020B
LtnCapTurnedT,uniA7B1
DrachmaSgn,uni20AF
LtnCapTurnedV,uni0245
RomNumNine,uni2168
LtrSoundRecCopyright,uni2117
LtnSmATilde.2StorySItal.LP,atilde.2StorySItal.LP
ModDwnArrwhd,uni02C5
LtnCapTurnedH,uniA78D
GrCapOmegaWPsiliPeris,uni1F6E
LtnSmBBarredStem,uni0180
TnContRt11,uni02E9.1
TnContLft53,uniA714.5
LtnCapTurnedA,uni2C6F
LtnSmARetrHook,uni1D8F
LtnSmEDblGrave.sc,uni0205.sc
LtnSmAUDigraph.sc,uniA737.sc
VS1.ShowInv,uniFE00.ShowInv
RevDblPrime,uni2036
LtnSmP,p
LtnSmEzh.RevSigmaStyle,uni0292.RevSigmaStyle
Space,space
TildeOperator,similar
SqrTxtBracLowRtShort,uni231F
TnContRt12,uni02E9.2
GrSmEpsilon,epsilon
GrCapEtaWPsili,uni1F28
LtnCapThorn,Thorn
EmQuad,uni2001
LftMidSqrBrac,uni23A2
LtnSmACaron.LP,uni01CE.LP
LtnSmABreveTilde.SngStory.VN.sc,uni1EB5.SngStory.VN.sc
GrUpsilonWAcuteHookSym,uni03D3
LtnSmLBelt,uni026C
LtnSmUDiaerBlw.sc,uni1E73.sc
LtnSmNTilde,ntilde
LtnSmODotAbvMacron,uni0231
TnLtrNineSeg39.Lines,uniF1F3F1F9.Lines
LtnSmABreveTilde,uni1EB5
CentSgn,cent
CySmABreve,uni04D1
CySmPeDesc,uni0525
LtnSmScriptG.sc,uni0261.sc
LtnSmADotAbvMacron,uni01E1
LtnSmLigIj.LP,ij.LP
TnContRt54,uni02E5.4
CyCapElHook,uni0512
GrSmDelta,delta
CombOverline,uni0305
LtnSmAMacron.sc,amacron.sc
CySmLigEnGhe,uni04A5
CySmElHook,uni0513
GrSmUpsilonWVrachy,uni1FE0
LtnSmEgAin.sc,uniA725.sc
LtnSmA.SngStory.sc,a.SngStory.sc
LtnSmRFishhook,uni027E
LtnSmUOgonek.sc,uogonek.sc
CombDotBlw,dotbelowcomb
LtrScriptSmL,uni2113
SixPerEmSpace,uni2006
LtnSmKDiagStrk.sc,uniA7A3.sc
LtnCapDCaron,Dcaron
CombMacron_AcuteDep,uniF171
RevTriplePrime,uni2037
ModSmLPalHook,uni1DAA
GrSmEtaWDasiaPeris.Por,uni1F27.Por
LtnCapTnSix,uni0184
LtnSmZDotAbv.sc,zdotaccent.sc
ModCapP,uni1D3E
CySmBashkirKa.sc,uni04A1.sc
LtnSmCDotAbv.sc,cdotaccent.sc
ModCapU,uni1D41
ModCapT,uni1D40
LtnSmAeAcute,aeacute
GrLowNumSgn,uni0375
GrPsiliVaria,uni1FCD
GrCapRho,Rho
LtnSmVDotBlw,uni1E7F
LtnSmEsh.sc,uni0283.sc
LtnLigSmFSmF,f_f
LtnSmOCircumAcute.VN.sc,uni1ED1.VN.sc
ModCapG,uni1D33
ModCapE,uni1D31
LtnSmLAcute,lacute
LtnLigSmFSmL,f_l
ModCapJ,uni1D36
ModCapI,uni1D35
ModCapH,uni1D34
ModCapO,uni1D3C
CombGrKoronis,uni0343
LtnSmNMiddleTildeDep,uniF24D
GrSmEtaWDasiaPerisYpo.Por,uni1F97.Por
CombMacron.LP,uni0304.LP
CyCapGhe,uni0413
LtnSmACircumGrave.SngStory.sc,uni1EA7.SngStory.sc
LtnStretchedC,uni0297
LtnSupSmOpnE,uni1D4B
LtnSmSaltillo.sc,uniA78C.sc
LtnSmOCaron.LP,uni01D2.LP
LtnSmEng.sc,eng.sc
LtnSmAeMacron.LP,uni01E3.LP
ModTnYinShang,uniA702
CombGrave_MacronDep,uniF172
LtnCapLLineBlw,uni1E3A
LowLine,underscore
TnLtrNineSeg23.Lines,uniF1F2F1F3.Lines
LtnSmEMacron.LP,emacron.LP
LtnSmWDiaer.sc,wdieresis.sc
LtnCapGDiagStrk,uniA7A0
PlusMinusSgn,plusminus
LtnSmLj.sc,uni01C9.sc
LtnSmIDotAbv.LP,idotaccent.LP
LtnSmDBDigraph,uni0238
LtnSupSmRevOpnEDep,uniF18B
LtnSmCDotAbv,cdotaccent
TnLtr4no,uni02E6.no
LtnSmOi,uni01A3
CySmAbkhasHa,uni04A9
CySmUMacron.sc,uni04EF.sc
CombDblDiaer,uniF17A
LtnSmTurnedH.sc,uni0265.sc
LtnSmWGrave,wgrave
LtnSmUCaron.LP,uni01D4.LP
CombGrave_Macron,uni1DC5
GrSmEtaWPsiliPerisYpo.Por,uni1F96.Por
LtnLateralClick,uni01C1
CySmHardSgn,uni044A
LtnCapTnTwo,uni01A7
LtnSmVHook.sc,uni028B.sc
CySmTe,uni0442
CyCapYeru,uni042B
LtnSmMum,uniA773
LtnCapInsularG,uniA77D
LtnSmWGrave.LP,wgrave.LP
ActivateSymmetricSwapping,uni206B
LtnSmHStrk.VertStrk,hbar.VertStrk
TnLtrNineSeg47.Lines,uniF1F4F1F7.Lines
VS6.ShowInv,uniFE05.ShowInv
LtnCapInsularD,uniA779
ActivateArbFormShaping,uni206D
LtnSmACircumTilde.SngStory.sc,uni1EAB.SngStory.sc
RtTopParen,uni239E
TurkishLiraSgn,uni20BA
LtnSmACircumGrave.2StorySItal.VN,uni1EA7.2StorySItal.VN
TnContLft45,uniA712.4
LtnSmLDotBlwMacron.SItal,uni1E39.SItal
CombCircumHook.VN,uni0302_hookabovecomb.VN
GrSmOmicronWTonos,omicrontonos
LtnSupSmTurnedMLngLeg,uni1DAD
LtnSmPStrk,uni1D7D
LtnSmGamma.sc,uni0263.sc
LtnCapACircumAcute.VN,uni1EA4.VN
LtnSmUHornAcute.LP,uni1EE9.LP
LtnSmIota,uni0269
LtnSmOOgonekMacron.sc,uni01ED.sc
LtnCapGamma,uni0194
SubEight,uni2088
TnLtrNineSeg32.Lines,uniF1F3F1F2.Lines
EuroCurrSgn,uni20A0
SupplLftTransBracDot,uni2E08
ModCntrdLftHalfRing,uni02D3
LtnSmRDiagStrk.sc,uniA7A7.sc
LtnCapUBreve,Ubreve
TnLtrNineSeg74,uniF1F7F1F4
LtnSmEDotBlw,uni1EB9
GrCapAlphaWOxia,uni1FBB
LtnSmKCedilla.sc,kcommaaccent.sc
TnLtrNineSeg78,uniF1F7F1F8
LtnSmZ.sc,z.sc
ModSmSdwysU,uni1D59
RomNumTwelve,uni216B
GraveAccent,grave
ModGlottalStopDep,uniF1C8
ModSmNRetrHook,uni1DAF
CyCapKomiNje,uni050A
Ogonek.RetroHook,ogonek.RetroHook
LtnSmTresillo,uniA72B
CySmI,uni0438
DotTnLtr4,uniA709
LtnSmHCedilla.sc,uni1E29.sc
LtnCapSmRHookTail,uni2C64.LCStyle
CySmO,uni043E
LtnCapEt,uniA76A
CySmA,uni0430
LtnSmEAcute,eacute
LtnSmEng.UCStyle,eng.UCStyle
CySmE,uni044D
LtnCapYogh,uni021C
LtnSmTurnedM,uni026F
ZeroWidthJoiner,uni200D
LtnSmUCircum,ucircumflex
CyCapRevZe,uni0510
LtnSmNMiddleTilde,uni1D70
LtnSmACircumDotBlw.SngStory,uni1EAD.SngStory
LtnCapOHornTilde,uni1EE0
LtnSmODblAcute,ohungarumlaut
CombInvDblArchBlw,uni032B
CySmU,uni0443
LtnSmADotAbv.SngStory,uni0227.SngStory
UpArrw,arrowup
LtnSmRRotunda.sc,uniA75B.sc
DigitOne.Sophia,compDigitOne
LtnLigSmFSmL.sc,f_l.sc
GrThetaSym,theta1
LtnSmTLineBlw,uni1E6F
LtnSmGCedilla.SngBowl.sc,gcommaaccent.SngBowl.sc
LtnSmOCurl,uniA74D
LtnSmRLngLeg,uni027C
CySmElTail.sc,uni04C6.sc
LtnBilabialPercussive,uni02AC
LtnSmAeMacron.2StorySItal.LP,uni01E3.2StorySItal.LP
LtnSmZSwashTail,uni0240
LtnCapVDiagStrk,uniA75E
TnLtrNineSeg56.Lines,uniF1F5F1F6.Lines
RomNumTen,uni2169
CombDiaerBlw,uni0324
LtnCapSCircum,Scircumflex
TnLtrSeg14,compTnLtrSeg14
LtnSmAlpha.sc,uni0251.sc
TnLtrSeg12,compTnLtrSeg12
LtnSmOOgonekMacron.RetroHook,uni01ED.RetroHook
GrCapSho,uni03F7
GrCapTau,Tau
LtnSmABreveHookAbv.SngStory.VN,uni1EB3.SngStory.VN
LtnInvGlottalStopStrk,uni01BE
LtnSmUHookAbv.sc,uni1EE7.sc
CySmCapEl,uni1D2B
LtnSmGCircum.SngBowl.sc,gcircumflex.SngBowl.sc
LtnSmECircumDotBlw,uni1EC7
LtnSmVisigothicZ.sc,uniA763.sc
LtnSmPHook.BowlHook,uni01A5.BowlHook
GrSmLamda,lambda
LtnCapHDotBlw,uni1E24
ModTnYinQuDep,uniF1E1
LtnSmQPDigraph,uni0239
LtnSmEMacronGrave.sc,uni1E15.sc
LtnSmOTildeDiaer.sc,uni1E4F.sc
LtnSmZDotAbv.SItal,zdotaccent.SItal
CyCapElHookDep,uniF322
GrCapIotaWDasiaPeris,uni1F3F
LtnSmRevCMiddleDot,uniA73F
LtnSmLHighBar.SItal,uniA749.SItal
GrCapOmicronWTonos,Omicrontonos
PlusSgn,plus
CombLftArrwhdAbv,uni1DFE
LtnSmACircumHookAbv.LP,uni1EA9.LP
LtnSmABreveTilde.2StorySItal.VN,uni1EB5.2StorySItal.VN
DblExclamationMrk,exclamdbl
LtnSmIRetrHookDep,uniF23C
CombLngStrkOverlay,uni0336
MathFrktCapB,u1D505
CySmEf,uni0444
CySmODiaer.sc,uni04E7.sc
RtArrw,arrowright
LtnSmABreveGrave.2StorySItal.VN.LP,uni1EB1.2StorySItal.VN.LP
CySmKhakasChe.sc,uni04CC.sc
LtnSmABreveAcute.sc,uni1EAF.sc
LtnSmARtHalfRing.SngStory.sc,uni1E9A.SngStory.sc
TradeMrkSgn,trademark
LtnCapEInvBreve,uni0206
LtnCapZDotBlw,uni1E92
LtnSmLCedilla,lcommaaccent
LtnSmECircumAcute.LP,uni1EBF.LP
ModShortEqSgnDep,uniF1EA
LtnSmSchwaHook,uni025A
GrSmUpsilon,upsilon
LtnSmInsularS.sc,uniA785.sc
LtnCapOTildeDiaer,uni1E4E
LtnSmKRtDiagStrk.sc,uniA743.sc
ModStressLowTn,uniA721
CombAlmostEqToAbv,uni034C
GrCapAlphaWPsiliVaria,uni1F0A
CombCircum.LP,uni0302.LP
TnLtrNineSeg17,uniF1F1F1F7
CombZigZagAbv,uni035B
CyCapABreve,uni04D0
LtnSmIOgonek.RetroHook,iogonek.RetroHook
ModLowUpArrwhd,uni02F0
LtnSubSmX,uni2093
GrSmOmegaWPsiliVariaYpo,uni1FA2
LtnSmDLineBlw,uni1E0F
CySmShhaDescDep,uniF32D
CombGrave.LP,gravecomb.LP
LtnCapDDotAbv,uni1E0A
CySmEr.sc,uni0440.sc
LtnSmABreveAcute.SngStory.VN.sc,uni1EAF.SngStory.VN.sc
LtnSmRDotBlw,uni1E5B
SupplRtAngleSubMkr,uni2E00
LtnSmADotBlw.sc,uni1EA1.sc
TnLtrNineSeg14,uniF1F1F1F4
LtnSmFPalHook,uni1D82
LtnCapUCircum,Ucircumflex
LtnSmABreveGrave.LP,uni1EB1.LP
LtnSmSdwysTrndM,uni1D1F
CySmShha.UCStyle,uni04BB.UCStyle
NotEqTo,notequal
ModCapRevE,uni1D32
LtnSmKHook,uni0199
GrCapEtaWDasiaPerisPros,uni1F9F
LtnCapUHornAcute,uni1EE8
LtnSmS,s
GrCapEtaWPsiliPerisPros,uni1F9E
CySmRha,uni0517
LtnCapIs,uniA76C
RomNumFifty,uni216C
LtnSmIDiaerAcute.SItal.LP,uni1E2F.SItal.LP
GrCapAlphaWTonos,Alphatonos
LtnSmXDiaer,uni1E8D
CySmGheMiddleHook.sc,uni0495.sc
LtnSmFDotAbv,uni1E1F
InhibitArbFormShaping,uni206C
GrCapPamphylianDigamma,uni0376
ModCapR,uni1D3F
LtnCapACircum,Acircumflex
TnContRt43,uni02E6.3
LtnCapSmQHookTailDep,uniF212
LtnSmUHornTilde.sc,uni1EEF.sc
LtnSmRevC,uni2184
LtnCapITildeBlw,uni1E2C
CySmUMacron,uni04EF
LtnSmRevE,uni0258
LtnSmJCrossedTail,uni029D
LtnCapWGrave,Wgrave
LtnSmCapEth,uni1D06
LtnSmSCedilla.sc,scedilla.sc
LtnSmABreveTilde.LP,uni1EB5.LP
CySmE.MongolStyle,uni044D.MongolStyle
CyCapBarredO,uni04E8
LtnSmGlottalStop.sc,uni0242.sc
LtnCapAAcute,Aacute
SmRomNumThree,uni2172
LtnSmZAcute.SItal,zacute.SItal
CombMacron_GraveDep,uniF173
LtnSmEshHook,uni1D98
LtnSmODiaerMacron.LP,uni022B.LP
TnLtrNineSeg83.Lines,uniF1F8F1F3.Lines
DblAcuteAccent,hungarumlaut
EmSpace,uni2003
SmRomNumFiveHundred,uni217E
MiddleDot,periodcentered
HorizEllipsis,ellipsis
LtnSmUHornAcute,uni1EE9
TnLtrNineSeg61.Lines,uniF1F6F1F1.Lines
LiraSgn,lira
LtnSmSdwysO,uni1D11
CyCapEnTail,uni04C9
CySmEnLftHook,uni0529
ModLowColon.Wide,uniA789.Wide
LtnSmLBar.sc,uni019A.sc
LtnSmVHook.StraightLftHighHook,uni028B.StraightLftHighHook
LtnSmABreveHookAbv.2StorySItal,uni1EB3.2StorySItal
LftArrwStrk,uni219A
TnContRt41,uni02E6.1
LtnSubSmO,uni2092
CombAcute_Grave_AcuteDep,uniF179
ModSmSHookDep,uniF1C4
LtnSmURetrHookDep,uniF23E
Comma,comma
LtnSmRCaron.sc,rcaron.sc
LtnSmDezhDigraph,uni02A4
LtnCapW.Sophia,compLtnCapW
LtnSmAODigraph,uniA735
SupTwo,twosuperior
LtnCapRHookTail,uni2C64
ModSmTurnedY,uniF1CE
LtnSmPDotAbv.sc,uni1E57.sc
CombCommaAbv,uni0313
LtnCapECircumAcute,uni1EBE
CombBridgeBlw,uni032A
GrCapOmegaWPsiliOxiaPros,uni1FAC
CombGrave_Acute_Grave,uni1DC8
LtnSmOCircumGrave.VN,uni1ED3.VN
ModSmTurnedH,uni1DA3
LtnSmABreve.2StorySItal,abreve.2StorySItal
LtnSupSmFDep,uniF1A5
LtnSmOCircumTilde,uni1ED7
LtnSmYLoop.sc,uni1EFF.sc
LtnSmARingBlw.2StorySItal,uni1E01.2StorySItal
LtnCapAADigraph,uniA732
GrSmEtaWPsiliOxia,uni1F24
LtnSmADotAbvMacron.SngStory,uni01E1.SngStory
LtnSmACircumDotBlw.SngStory.LP,uni1EAD.SngStory.LP
CySmErTick,uni048F
LtnCapECircumGrave,uni1EC0
GrSmOmegaWPsiliOxiaYpo,uni1FA4
GrCapOmegaWPsiliPerisPros.Por,uni1FAE.Por
LtnSmTStrk,tbar
LtnSmGStrk,uni01E5
LtnCapODotAbvMacron,uni0230
GrSmAlphaWPsiliYpo,uni1F80
LtnSmSdwysDiaerU,uni1D1E
CombLtnSmRBlwDep,uniF178
GrSmEtaWVaria,uni1F74
RomNumFiveHundred,uni216E
LtnSmGMacron,uni1E21
LtnSmACircumGrave.SngStory,uni1EA7.SngStory
LtnSupSmAe,uniF1A1
GrSmArchaicKoppa,uni03D9
ModGraveAccent.LP,uni02CB.LP
TnLtrNineSeg73.Lines,uniF1F7F1F3.Lines
LtnSubSmH,uni2095
LtnSmADotAbvMacron.2StorySItal,uni01E1.2StorySItal
LtnSmTurnedT.sc,uni0287.sc
nonmarkingreturn,nonmarkingreturn
GrCapOmicronWDasiaVaria,uni1F4B
ModSmGrPhi,uni1D60
GrCapEtaWTonos,Etatonos
LtnSmADotBlw,uni1EA1
LtnSupSmIStrk.Dotless,uni1DA4.Dotless
FontBslnSideBrngMrkrRt,uniF131
LtnSmSaltillo,uniA78C
LtnSmIDiaerAcute.sc,uni1E2F.sc
CyCapUDiaer,uni04F0
.null,.null
GrSmEtaWYpo,uni1FC3
LtnSmARingAbv.sc,aring.sc
LtnSmCapK,uni1D0B
LtnSmCapJ,uni1D0A
GrSmEpsilonWTonos,epsilontonos
LtnSmCapH,uni029C
LtnSmCapO,uni1D0F
LtnSmCapN,uni0274
LtnSmCapM,uni1D0D
LtnSmCapL,uni029F
LtnSmCapC,uni1D04
GrCapIotaWPsiliPeris,uni1F3E
CySmKaStrk,uni049F
LtnSmGMacron.SngBowl,uni1E21.SngBowl
LtnSmCapG,uni0262
LtnCapLDotBlw,uni1E36
LtnSmADiaer.LP,adieresis.LP
LtnCapOHornDotBlw,uni1EE2
CombBreveGrave.VN,uni0306_gravecomb.VN
GrSmAlphaWPeris,uni1FB6
LtnSmADotBlw.2StorySItal,uni1EA1.2StorySItal
LtnSmACircumHookAbv.2StorySItal.LP,uni1EA9.2StorySItal.LP
LtnSmZCircum.SItal,uni1E91.SItal
LtnSmADiaerMacron.2StorySItal.LP,uni01DF.2StorySItal.LP
LtnSmCapR,uni0280
LtnSmCapP,uni1D18
CombHookAbv,hookabovecomb
LtnSmCapV,uni1D20
LtnSmCapU,uni1D1C
LtnSmCapT,uni1D1B
CombAcute,acutecomb
TnLtrNineSeg36.Lines,uniF1F3F1F6.Lines
DigitTwo.Sophia,compDigitTwo
TnLtrNineSeg94,uniF1F9F1F4
RomNumRevOneHundred,uni2183
LtnSmEzh.RevSigmaStyle.sc,uni0292.RevSigmaStyle.sc
VS10.ShowInv,uniFE09.ShowInv
TnLtrNineSeg95,uniF1F9F1F5
LtnSmHengDep,uniF25A
LtnSmUAcute.LP,uacute.LP
LtnCapEzhCaron,uni01EE
LtnSmYMacron.sc,uni0233.sc
GrSmPsi,psi
LtnSmDotlessI.sc,dotlessi.sc
GrCapAlphaWDasiaPeris,uni1F0F
TnContRt13,uni02E9.3
LtnSmVDotBlw.SItal,uni1E7F.SItal
LtnSmClosedRevOpnE,uni025E
LtnSmZPalHookDep,uniF233
LtnSmHStrk,hbar
CombGrYpo,uni0345
LtnCapDCircumBlw,uni1E12
Hyphen_Soft,uni00AD
CySmGheDesc.sc,uni04F7.sc
GrCapEpsilonWPsiliVaria,uni1F1A
LtnSupSmUBarDep,uniF1B0
CySmYi.sc,uni0457.sc
LtnSmVTilde.sc,uni1E7D.sc
LtnSmWAcute.LP,wacute.LP
LtnSmI.SItal,i.SItal
LtnSmNTilde.sc,ntilde.sc
TnStaffRt4,uni02E6.rstaff
CyCapTse,uni0426
LtnSmGCaron.SngBowl.sc,gcaron.SngBowl.sc
LtnCapSchwa,uni018F
GrSmAlphaWPsili,uni1F00
LtnSmABreveHookAbv.SngStory.VN.LP,uni1EB3.SngStory.VN.LP
TnLtr5no,uni02E5.no
LtnCapRInvBreve,uni0212
CyCapEDiaer,uni04EC
LtnSmABreveTilde.SngStory.LP,uni1EB5.SngStory.LP
FourPerEmSpace,uni2005
LtnSmEzhHook,uni1D9A
LtnSmOLngStrk.sc,uniA74B.sc
LtnGlottalStopStrk,uni02A1
TnLtrNineSeg26,uniF1F2F1F6
TnLtrNineSeg99.Lines,uniF1F9.Lines
LtnSupSmZCurl,uni1DBD
LtnSmACircumTilde.LP,uni1EAB.LP
LtnSmIHookAbv.sc,uni1EC9.sc
LtnCapWAcute,Wacute
LtnSupSmOe,uniA7F9
SubMinus,uni208B
LtnSmIDotBlw.SItal.LP,uni1ECB.SItal.LP
LtnCapR.Sophia,compLtnCapR
GrCapIotaWMacron,uni1FD9
GrSmOmegaWDasiaPeris,uni1F67
LtnSmVDotBlw.sc,uni1E7F.sc
LtnSmGCaron.LP,gcaron.LP
PercentSgn,percent
GrCapThetaSym,uni03F4
LtnLigSmFSmFSmL.SItal.sc,f_f_l.SItal.sc
CombRtHalfRingAbv,uni0357
LtnSmGBreve.SngBowl.sc,gbreve.SngBowl.sc
GrSmAlphaWMacron,uni1FB1
LtnSmATilde.SngStory.LP,atilde.SngStory.LP
LtnCapYTilde,uni1EF8
LtnCapUDiaer,Udieresis
TnLtrNineSeg68,uniF1F6F1F8
LtnSmTRetrHook,uni0288
CyCapEnLftHook,uni0528
LtnSmIDotAbv.SItal,idotaccent.SItal
ModGlottalStop,uni02C0
ModSmTPalHookDep,uniF1C5
CyCapHaStrk,uni04FE
CySmTeDesc.sc,uni04AD.sc
MultSgn,multiply
RtDblArrw,arrowdblright
LtnSmSAcute.sc,sacute.sc
ModSmNRetrHookDep,uniF1C1
LtnSmAHookAbv.SngStory,uni1EA3.SngStory
AcuteAccent.LP,acute.LP
TnStaffRt1,uni02E9.rstaff
LtnSmUpsilonStrkDep,uniF255
LtnSmKDiagStrk,uniA7A3
LtnCapOCircumDotBlw,uni1ED8
CombBreveTilde.VN,uni0306_tildecomb.VN
CySmLha.sc,uni0515.sc
CySmEDiaer.sc,uni04ED.sc
TnStaffRt2,uni02E8.rstaff
TnStaffRt3,uni02E7.rstaff
ModRhoticHook,uni02DE
TnStaffRt5,uni02E5.rstaff
LtnSmEng.Kom.sc,eng.Kom.sc
LtnSupSmLRetrHook,uni1DA9
TnLtrNineSeg67,uniF1F6F1F7
SqrRoot,radical
TnLtrNineSeg65,uniF1F6F1F5
TnLtrNineSeg64,uniF1F6F1F4
TnLtrNineSeg63,uniF1F6F1F3
LtnSmNDotBlw.sc,uni1E47.sc
TnLtrNineSeg61,uniF1F6F1F1
CySmKje,uni045C
GrCapAlphaWDasiaVaria,uni1F0B
TnLtrNineSeg69,uniF1F6F1F9
Bullet,bullet
LtnSmDTopbar.sc,uni018C.sc
LtnSmOTildeDiaer.LP,uni1E4F.LP
LtnLigSmFSmFSmI.SItal,f_f_i.SItal
CySmGheStrkDesc.sc,uniF327.sc
MascOrdIndicator,ordmasculine
GrCapAlphaWPsiliPerisPros.Por,uni1F8E.Por
GrCapAlphaWPsiliOxia,uni1F0C
LtnSmETildeBlw,uni1E1B
TnLtrNineSeg66,uniF1F6
LtnSmKDesc,uni2C6A
ModDblApos,uni02EE
LtnSmHDotBlw.sc,uni1E25.sc
VulgFracOneEighth,oneeighth
LtnCapSaltillo.Lrg,uniA78B.Lrg
LtnCapIDotBlw,uni1ECA
VulgFracFourFifths,uni2158
GrCapUpsilonWVaria,uni1FEA
TnStaffLft1,uniA716.lstaff
TnStaffLft3,uniA714.lstaff
TnStaffLft2,uniA715.lstaff
TnStaffLft5,uniA712.lstaff
LtnSmDblBarredLDep,uniF20E
TnLtrNineSeg62,uniF1F6F1F2
LtnSmOCircumTilde.sc,uni1ED7.sc
CyCapTeDesc,uni04AC
LtnSmGMacron.SngBowl.LP,uni1E21.SngBowl.LP
LtnSmNDotBlw,uni1E47
LtnSmPAcute.LP,uni1E55.LP
LtnSmERetrHook,uni1D92
MathFrktCapV,u1D519
LtnSmBBarredBowl.sc,uni0180.BarBowl.sc
TnLtrNineSeg96.Lines,uniF1F9F1F6.Lines
NumeroSgn,uni2116
LtnSmGDotAbv.SngBowl.LP,gdotaccent.SngBowl.LP
GrCapOmegaWPros,uni1FFC
LtnSmCapGHook,uni029B
GrSmSan,uni03FB
CyCapE.MongolStyle,uni042D.MongolStyle
LtnSmYHook.sc,uni01B4.sc
CombTilde,tildecomb
UpDwnArrw,arrowupdn
LtnSmCCircum,ccircumflex
LtnSmNGrave.LP,uni01F9.LP
SqrTxtBracHighLft,uni2308
LtnCapUMacronDiaer,uni1E7A
SmTilde,tilde
LtnSmLHighBar,uniA749
LtnCapRBarredStem,uni024C
TnLtrNineSeg49.Lines,uniF1F4F1F9.Lines
LtnCapABreveHookAbv.VN,uni1EB2.VN
CyCapDeCheLig,uni052C
LtnCapOCircum,Ocircumflex
LtnCapZLineBlw,uni1E94
CySmKaHook.sc,uni04C4.sc
LtnSmQPDigraphDep,uniF241
LtnSmDDotBlw,uni1E0D
GrCapEtaWDasiaOxia,uni1F2D
CyCapHaHook,uni04FC
TnLtrNineSeg92,uniF1F9F1F2
LtnCapURingAbv,Uring
LtnCapAGrave,Agrave
LtnCapTCommaBlw,uni021A
CySmGheStrkDesc.SItal,uniF327.SItal
LtnSmGCaron.SngBowl.LP,gcaron.SngBowl.LP
TnLtrNineSeg66.Lines,uniF1F6.Lines
GrSmEtaWPsiliPeris.Por,uni1F26.Por
CySmCheDiaer,uni04F5
LtnSmACircumTilde.SngStory,uni1EAB.SngStory
LtnSmUMacron.sc,umacron.sc
LtnSmIBreve.sc,ibreve.sc
TnStaffLft2no,uniA715.lstaffno
LtnSmCapLStrk,uni1D0C
GrCapOmicronWPsili,uni1F48
SqrTxtBracHighRtShort,uni231D
CySmShortI.sc,uni0439.sc
LtnSmOMiddleTilde.sc,uni0275.sc
LtnSmEth.sc,eth.sc
LtnCapUHornGrave,uni1EEA
LtnSmK.sc,k.sc
CySmAbkhasDze,uni04E1
LtnSmTHStrk,uni1D7A
LtnSmGCircum,gcircumflex
LtnSmWAcute,wacute
ModLowLftArrw,uni02FF
LtnCapLigOe,OE
LtnSmOpnO,uni0254
LtnSmICircum,icircumflex
LtnSmGCircum.SngBowl.LP,gcircumflex.SngBowl.LP
LtnSmIOgonek.RetroHook.sc,iogonek.RetroHook.sc
LtnSmTurnedY,uni028E
LtnCapUCaron,uni01D3
GrCapEtaWPsiliPerisPros.Por,uni1F9E.Por
TnLtrNineSeg98.Lines,uniF1F9F1F8.Lines
LtnCapABreve,Abreve
GrSmEtaWPsiliPerisYpo,uni1F96
LtnCapSDotBlw,uni1E62
SectionSgn,section
GrSmOmegaWPerisYpo,uni1FF7
LtnSmEStrk,uni0247
LtnSupSmEshDep,uniF1AF
CombXAbv,uni033D
LtnSmOCircumDotBlw.LP,uni1ED9.LP
CySmYae.sc,uni0519.sc
CombLngSolidusOverlay,uni0338
LtnSmInsularD.sc,uniA77A.sc
LtnSmCuatrilloComma,uniA72F
GrSmUpsilonWPeris.Por,uni1FE6.Por
LtnSupSmEsh,uni1DB4
LtnTwoStrk,uni01BB
TnLtrNineSeg34.Lines,uniF1F3F1F4.Lines
LtnSmCapBarredB,uni1D03
GrCapKaiSym,uni03CF
LtnSmRBar,uni024D
LtnSmACircumGrave.VN.LP,uni1EA7.VN.LP
LtrBlackCapC,uni212D
GrCapOmicron,Omicron
LtnSmARtHalfRing.sc,uni1E9A.sc
GrSmUpsilonWPeris,uni1FE6
TnLtrSeg15,compTnLtrSeg15
LtrBlackCapH,uni210C
LtnSupSmEzh,uni1DBE
ModPrime,uni02B9
GraveAccent.LP,grave.LP
LtnSmODblGrave,uni020D
LtnSmMPalHookDep,uniF22B
GrSubSmPhi,uni1D69
Prime,minute
LtnSmY.sc,y.sc
LtnCapEzh,uni01B7
LtnSmOTildeMacron.sc,uni022D.sc
CombDiaer.UL,uni0308.UL
LtnSmOHornAcute,uni1EDB
LtnCapScriptG,uniA7AC
LtnCapNj,uni01CA
LtnSmTDotAbv.sc,uni1E6B.sc
LtnSmRDotBlw.sc,uni1E5B.sc
GrSmOmicronWVaria,uni1F78
LtnCapThornHighStrk,uniA764
DotLftStemTnLtr3Dep,uniF1DC
GrCapOmega,uni03A9
LtnCapNDiagStrk,uniA7A4
LtnSmACircumAcute.2StorySItal,uni1EA5.2StorySItal
CySmGhe,uni0433
CombDiaer.UU,uni0308.UU
ModAcuteAccentDep,uniF197
LtnSmSAcute,sacute
LtnSmTCommaBlw,uni021B
SwingDash,uni2053
GrStigma,uni03DA
ModRaisedUpArrw,uniA71B
GrSmEtaWPeris,uni1FC6
CombRtDotAbv,uni0358
LtnSmR.sc,r.sc
LtnCapTHook.RtHook,uni01AC.RtHook
SqrTxtBracLowRtDep,uniF135
CySmAbkhasCheDesc,uni04BF
LtnSmRDotBlwMacron.sc,uni1E5D.sc
