# 2017-01-19 02:18:08 ../../pysilfont/scripts/tools/UFOpsnamesmap.py
# GentiumPlus-Regular.ufo

AustralSign,uni20B3
LtnSmLZDigraph,uni02AB
CySmTe.sc,uni0442.sc
LtnSmADblGrave.sc,uni0201.sc
ModCapOu,uni1D3D
CySmHardSgn.sc,uni044A.sc
RomNumEleven,uni216A
CyPalochka.sc,uni04CF.sc
LtnSmATilde.SngStory,atilde.SngStory
LtnSmITilde.SItal,itilde.SItal
GrSmAlphaWDasia,uni1F01
SglHighRev9QuotMrk,quotereversed
CombShortStrkOverlay,uni0335
LtnCapLCaron.Caron,Lcaron.Caron
GrDialTonos,dieresistonos
SubEqSgn,uni208C
GrCapEtaWDasiaPeris,uni1F2F
TnLtrSeg33,compTnLtrSeg33
ModYinDepartingTnMrk,uni02EA
CombVertLineAbv,uni030D
PuncSpace,uni2008
LtnCapBBarredLowStem,uni0243
LtnSmLLDigraph.sc,uni1EFB.sc
LtnSmRDotAbv.sc,uni1E59.sc
LtnSmITildeBlw,uni1E2D
ModCapW,uni1D42
NairaSgn,uni20A6
LtnCapOHookAbv,uni1ECE
VS8.ShowInv,uniFE07.ShowInv
LtnSmVPalHook,uni1D8C
CyCapLigAIe,uni04D4
LtnSmLCaron.Caron,lcaron.Caron
GrSmAlphaWDasiaYpo,uni1F81
GrCapAlphaWMacron,uni1FB9
LtnSmABreveTilde.VN.sc,uni1EB5.VN.sc
LtnCapUDiaerGrave,uni01DB
CySmByelorusUkrainI.sc,uni0456.sc
LtnCapEAcute,Eacute
CyCapYeruDiaer,uni04F8
VulgFracOneTenth,uni2152
SupMinus,uni207B
ModCapV,uni2C7D
CySmKomiSje.sc,uni050D.sc
RtMidSqrBrac,uni23A5
LtnSmUInvBreve,uni0217
LtnSmODblGrave.sc,uni020D.sc
GrCapUpsilonWOxia,uni1FEB
LtnSmABreve,abreve
LtnCapAe,AE
GrSmOmegaWOxia,uni1F7D
LtnSmEshPalHook,uni1D8B
NationalDigitShapes,uni206E
TnContRt15,uni02E9.5
LtnCapILonga,uniA7FE
TnLtrNineSeg11.Lines,uniF1F1.Lines
GrCapLunateSigma,uni03F9
LtnSmUMacronDiaer,uni1E7B
LtnSmTrndInsularG,uniA77F
CySmShhaDesc,uni0527
LtnBilabialClick,uni0298
CySmGheDescDep,uniF321
LftStemTnLtr1no,uniA716.no
ModUpTack,uni02D4
LtnSmACaron.SngStory.sc,uni01CE.SngStory.sc
NAryProduct,product
LtnCapOHorn,Ohorn
LtnSmUDiaerAcute.LP,uni01D8.LP
LtnLigSmFSmI.SItal,f_i.SItal
CombLtnSmO,uni0366
LtnSmNRetrHook,uni0273
LtnSmGStrk.SngBowl.sc,uni01E5.SngBowl.sc
LtnSmABreveDotBlw.SngStory,uni1EB7.SngStory
NEArrw,uni2197
LtnSmWDotAbv.LP,uni1E87.LP
LftStemTnLtr5no,uniA712.no
LtnSmOCircumTilde.VN.LP,uni1ED7.VN.LP
CySmKomiTje,uni050F
SEArrw,uni2198
LtnSmECircumHookAbv.VN.LP,uni1EC3.VN.LP
TnStaffRt2no,uni02E8.rstaffno
RtTopSqrBrac,uni23A4
GrSmEtaWVariaYpo,uni1FC2
LtnSmRLineBlw.sc,uni1E5F.sc
LftStemTnLtr3no,uniA714.no
ModSmThetaDep,uniF1C9
GrCapOmicronWDasia,uni1F49
GrCapSan,uni03FA
SupplLftRaisedOmBrac,uni2E0C
LtnSmGHook,uni0260
MusicSharpSign,uni266F
LtnSmIInvBreve.sc,uni020B.sc
TnLtrNineSeg88,uniF1F8
LtnSmYCircum,ycircumflex
LtnSmUMacronDiaer.sc,uni1E7B.sc
LtnSmOTilde.sc,otilde.sc
DigitSeven,seven
GrSmIotaWDialOxia,uni1FD3
TnLtrSpcDotLeft,compTnLtrSpcDotLeft
GrSmOmicronWPsiliOxia,uni1F44
CombMacron_Acute,uni1DC4
LtnSubSmL.SItal,uni2097.SItal
UpDblArrw,arrowdblup
GrSmOmegaWPsiliOxia,uni1F64
LtnSmECircum.LP,ecircumflex.LP
LtnSmRMiddleTilde,uni1D72
LtnSmICircum.SItal,icircumflex.SItal
ModVertLineDep,uniF196
CySmElDesc.sc,uni052F.sc
GrSmUpsilonWPsiliVaria,uni1F52
CombLtnSmA.SngStory,uni0363.SngStory
CyCapPeDesc,uni0524
Lozenge,lozenge
